경도,도로명,도로명상세,도로명코드,등록일자,리명,물품보관함유무,번지,법정동코드,수유실유무,시군구명,시도명,업체명,위도,유아거치대유무,읍면동명,전화번호,점자유도로유무,주차가능여부,카테고리명,폐업여부,필지고유번호,행정동코드,홈페이지주소,화장실유무,화장실타입,휠체어이동가능여부
128.8539747,미음산단로,17,264403000000.0,2021-09-23,,N,1205-2,2644011300,N,강서구,부산광역시,베스티호텔,35.12819599,N,구랑동,051-710-9700,N,Y,숙박/휴양,N,2644010000000000000,2644056000,https://bestiehotel.southkrhotel.com/,Y,"공용,내부",N
128.9910806,,,,2021-10-07,,N,1-5,2644010100,N,강서구,부산광역시,대저캠핑장,35.21594699,N,대저1동,051-941-0957,N,Y,문화관광/명소,N,2644010000000000000,2644051000,https://www.daejeocamping.com/,Y,"구분,외부",N
128.9847474,,,,2021-10-07,,,1-5,2644010100,,강서구,부산광역시,대저생태공원캠핑장,35.20741419,,대저1동,,,,문화관광/명소,Y,2644010000000000000,2644051000,,,,
128.9557911,공항로811번길,60-20,264404000000.0,2021-10-07,,N,1843-22,2644010200,N,강서구,부산광역시,공항하숙,35.18070548,N,대저2동,,N,Y,숙박/휴양,N,2644010000000000000,2644052000,https://airportguesthouse.modoo.at,Y,"공용,내부",N
128.9545073,유통단지1로65번길,15,264403000000.0,2021-08-31,,N,3148-4,2644010200,N,강서구,부산광역시,에어포트호텔,35.16569198,N,대저2동,051-831-0606,N,Y,숙박/휴양,N,2644010000000000000,2644052000,https://hotelairport.modoo.at/,Y,"공용,내부",N
128.8344939,가덕해안로1169번길,62-33,264404000000.0,2021-09-27,,N,17-1,2644012200,N,강서구,부산광역시,초롱블루펜션,35.01536640,N,대항동,,N,Y,숙박/휴양,N,2644010000000000000,2644058000,https://chorongblue.modoo.at/,Y,"공용,내부",N
128.8341854,가덕해안로1169번길,96,264404000000.0,2021-10-28,,,17-3,2644012200,,강서구,부산광역시,썬앤문풀빌라,35.01548277,,대항동,051-941-5020,,,숙박/휴양,Y,2644010000000000000,2644058000,,,,
128.8345980,가덕해안로1169번길,62-47,264404000000.0,2021-10-28,,,9-3,2644012200,,강서구,부산광역시,파도소리,35.01621381,,대항동,,,,숙박/휴양,Y,2644010000000000000,2644058000,,,,
128.8339249,가덕해안로1169번길,80,264404000000.0,2021-09-27,,N,23-5,2644012200,N,강서구,부산광역시,하늘과바다,35.01490389,N,대항동,051-941-3008,N,Y,숙박/휴양,N,2644010000000000000,2644058000,http://naver.me/FS6A3TSC,Y,"공용,내부",N
128.8342920,가덕해안로1169번길,104,264404000000.0,2021-10-28,,,17-11,2644012200,,강서구,부산광역시,썬앤문풀빌라,35.01541542,,대항동,051-941-5020,,,숙박/휴양,Y,2644010000000000000,2644058000,,,,
